"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","GetKoi_WithInvalidId_ReturnsNotFound","","Fri Oct 25 10:17:06 ICT 2024","passed","Fri Oct 25 10:17:06 ICT 2024","","swp_be.Tests.KoiControllerTests","swp_be.Tests.KoiControllerTests",""
"","20","GetKoi_ReturnsAllKoi","","Fri Oct 25 10:17:06 ICT 2024","passed","Fri Oct 25 10:17:06 ICT 2024","","swp_be.Tests.KoiControllerTests","swp_be.Tests.KoiControllerTests",""
"","8","PostKoi_CreatesNewKoi","","Fri Oct 25 10:17:06 ICT 2024","passed","Fri Oct 25 10:17:06 ICT 2024","","swp_be.Tests.KoiControllerTests","swp_be.Tests.KoiControllerTests",""
"","6","GetKoi_WithValidId_ReturnsKoi","","Fri Oct 25 10:17:06 ICT 2024","passed","Fri Oct 25 10:17:06 ICT 2024","","swp_be.Tests.KoiControllerTests","swp_be.Tests.KoiControllerTests",""
"","30","DeleteKoi_WithInvalidId_ReturnsNotFound","","Fri Oct 25 10:17:06 ICT 2024","passed","Fri Oct 25 10:17:06 ICT 2024","","swp_be.Tests.KoiControllerTests","swp_be.Tests.KoiControllerTests",""
"","632","DeleteKoi_RemovesExistingKoi","","Fri Oct 25 10:17:06 ICT 2024","passed","Fri Oct 25 10:17:06 ICT 2024","","swp_be.Tests.KoiControllerTests","swp_be.Tests.KoiControllerTests",""
"","9","PutKoi_UpdatesExistingKoi","","Fri Oct 25 10:17:06 ICT 2024","passed","Fri Oct 25 10:17:06 ICT 2024","","swp_be.Tests.KoiControllerTests","swp_be.Tests.KoiControllerTests",""
"","14","PutKoi_WithInvalidId_ReturnsNotFound","","Fri Oct 25 10:17:06 ICT 2024","passed","Fri Oct 25 10:17:06 ICT 2024","","swp_be.Tests.KoiControllerTests","swp_be.Tests.KoiControllerTests",""
"","4","Attempt to create an invalid koi","Koi API","Fri Oct 25 10:25:26 ICT 2024","broken","Fri Oct 25 10:25:26 ICT 2024","","","",""
"","3","Delete a koi","Koi API","Fri Oct 25 10:25:26 ICT 2024","broken","Fri Oct 25 10:25:26 ICT 2024","","","",""
"","42","Create and retrieve koi","Koi API","Fri Oct 25 10:25:25 ICT 2024","broken","Fri Oct 25 10:25:26 ICT 2024","","","",""
"","3","Get a specific koi","Koi API","Fri Oct 25 10:25:26 ICT 2024","broken","Fri Oct 25 10:25:26 ICT 2024","","","",""
"","7","Update a koi","Koi API","Fri Oct 25 10:25:26 ICT 2024","broken","Fri Oct 25 10:25:26 ICT 2024","","","",""
